"Cart","Basket"
"My Wishlist","My Favourites"
"My Wishlist <small>(%d)</small>","My Favourites"
"My Wishlist (%d items)","My Favourites"
"My Wishlist (%d item)","My Favourites"
"Shopping Cart Block","Shopping Basket Block"
"Shopping Cart Conditions","Shopping Basket Conditions"
"Edit Shopping Cart Block #%s - %s","Edit Shopping Basket Block #%s - %s"
"Add Shopping Cart Block","Add Shopping Basket Block"
"In Cart","In Basket"
"Option validation failed to add product to cart.","Option validation failed to add product to basket."
"Cannot add the item to shopping cart","Cannot add the item to shopping basket"
"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your basket. You can always remove it later."
"Shopping cart has been updated with appropriate prices","Shopping basket has been updated with appropriate prices"
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Cannot add the selected product to shopping basket because the product was removed from the wishlist"
"Cannot add item to shopping cart","Cannot add item to shopping basket"
"%s was added to your shopping cart.","%s was added to your shopping basket."
"Requested cart item doesn't exist","Requested basket item doesn't exist"
"Cannot add the item to shopping cart.","Cannot add the item to shopping basket."
"Unable to add the following product(s) to shopping cart: %s.","Unable to add the following product(s) to shopping basket: %s."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Product(s) %s have required options. Each of them can be added to basket separately only."
"%d product(s) have been added to shopping cart: %s.","%d product(s) have been added to shopping basket: %s."
"Shopping cart contents and/or address has been changed.","Shopping basket contents and/or address has been changed."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping basket and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent basket contents."
"My Cart (%s item)","My Basket (%s item)"
"My Cart (%s items)","My Basket (%s items)"
"My Cart","My Basket"
